"filename", "language", "JSON", "Markdown", "JavaScript", "TypeScript", "GraphQL", "JSON with Comments", "YAML", "comment", "blank", "total"
"c:\Users\justi\Desktop\AEL Dev\aelprod\.eslintrc.json", "JSON with Comments", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\justi\Desktop\AEL Dev\aelprod\.graphqlconfig.yml", "YAML", 0, 0, 0, 0, 0, 0, 15, 0, 1, 16
"c:\Users\justi\Desktop\AEL Dev\aelprod\README.md", "Markdown", 0, 20, 0, 0, 0, 0, 0, 0, 15, 35
"c:\Users\justi\Desktop\AEL Dev\aelprod\amplify\README.md", "Markdown", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\justi\Desktop\AEL Dev\aelprod\amplify\backend\api\aelprod\cli-inputs.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 0, 14
"c:\Users\justi\Desktop\AEL Dev\aelprod\amplify\backend\api\aelprod\parameters.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\justi\Desktop\AEL Dev\aelprod\amplify\backend\api\aelprod\resolvers\README.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\justi\Desktop\AEL Dev\aelprod\amplify\backend\api\aelprod\schema.graphql", "GraphQL", 0, 0, 0, 0, 21, 0, 0, 4, 4, 29
"c:\Users\justi\Desktop\AEL Dev\aelprod\amplify\backend\api\aelprod\stacks\CustomResources.json", "JSON", 58, 0, 0, 0, 0, 0, 0, 0, 1, 59
"c:\Users\justi\Desktop\AEL Dev\aelprod\amplify\backend\backend-config.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 21
"c:\Users\justi\Desktop\AEL Dev\aelprod\amplify\backend\tags.json", "JSON", 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\justi\Desktop\AEL Dev\aelprod\amplify\backend\types\amplify-dependent-resources-ref.d.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 9
"c:\Users\justi\Desktop\AEL Dev\aelprod\amplify\cli.json", "JSON", 53, 0, 0, 0, 0, 0, 0, 0, 0, 53
"c:\Users\justi\Desktop\AEL Dev\aelprod\amplify\hooks\README.md", "Markdown", 0, 4, 0, 0, 0, 0, 0, 0, 4, 8
"c:\Users\justi\Desktop\AEL Dev\aelprod\amplify\team-provider-info.json", "JSON", 28, 0, 0, 0, 0, 0, 0, 0, 0, 28
"c:\Users\justi\Desktop\AEL Dev\aelprod\next.config.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 1, 2, 7
"c:\Users\justi\Desktop\AEL Dev\aelprod\package-lock.json", "JSON", 45202, 0, 0, 0, 0, 0, 0, 0, 1, 45203
"c:\Users\justi\Desktop\AEL Dev\aelprod\package.json", "JSON", 48, 0, 0, 0, 0, 0, 0, 0, 1, 49
"c:\Users\justi\Desktop\AEL Dev\aelprod\public\data\coursedata.js", "JavaScript", 0, 0, 190, 0, 0, 0, 0, 0, 1, 191
"c:\Users\justi\Desktop\AEL Dev\aelprod\public\data\testdata.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\justi\Desktop\AEL Dev\aelprod\public\data\videodata.js", "JavaScript", 0, 0, 218, 0, 0, 0, 0, 0, 1, 219
"c:\Users\justi\Desktop\AEL Dev\aelprod\public\data\videodata\ek2.js", "JavaScript", 0, 0, 137, 0, 0, 0, 0, 0, 1, 138
"c:\Users\justi\Desktop\AEL Dev\aelprod\public\data\videodata\ek3.js", "JavaScript", 0, 0, 242, 0, 0, 0, 0, 0, 1, 243
"c:\Users\justi\Desktop\AEL Dev\aelprod\public\data\videodata\ekj2.js", "JavaScript", 0, 0, 137, 0, 0, 0, 0, 0, 1, 138
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\HOC\ProtectAdminPath.js", "JavaScript", 0, 0, 45, 0, 0, 0, 0, 0, 5, 50
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\HOC\ProtectPath.js", "JavaScript", 0, 0, 65, 0, 0, 0, 0, 0, 7, 72
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\admin\AcctPanel.js", "JavaScript", 0, 0, 58, 0, 0, 0, 0, 100, 20, 178
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\admin\CreateAcct.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\admin\CreateSchool.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\admin\DeleteAcct.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\admin\DeleteSchool.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\admin\SchoolPanel.js", "JavaScript", 0, 0, 160, 0, 0, 0, 0, 0, 17, 177
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\admin\UpdateAcct.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\admin\UpdateSchool.js", "JavaScript", 0, 0, 116, 0, 0, 0, 0, 0, 18, 134
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\admin\layout\DataBox.js", "JavaScript", 0, 0, 36, 0, 0, 0, 0, 0, 4, 40
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\audio\PauseButton.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 5, 32
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\audio\PlayButton.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 5, 32
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\audio\PlayerScaffold.js", "JavaScript", 0, 0, 273, 0, 0, 0, 0, 0, 31, 304
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\audio\TopBar.js", "JavaScript", 0, 0, 132, 0, 0, 0, 0, 0, 5, 137
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\audio\VolumeControl.js", "JavaScript", 0, 0, 83, 0, 0, 0, 0, 0, 11, 94
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\cards\Card.js", "JavaScript", 0, 0, 63, 0, 0, 0, 0, 0, 8, 71
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\dashboard\CourseDescriptionBox.js", "JavaScript", 0, 0, 61, 0, 0, 0, 0, 0, 9, 70
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\dashboard\CourseList.js", "JavaScript", 0, 0, 33, 0, 0, 0, 0, 0, 7, 40
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\dashboard\InfoBox.js", "JavaScript", 0, 0, 51, 0, 0, 0, 0, 0, 5, 56
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\dashboard\TestDescriptionBox.js", "JavaScript", 0, 0, 41, 0, 0, 0, 0, 0, 10, 51
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\dashboard\VideoDescriptionBox.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 8, 40
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\icons\PauseBtn.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\components\icons\PlayBtn.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
